date,value
Mar-1998,653139.0
Feb-1998,607389.0
Jan-1998,668891.0
Dec-1997,647883.0
Nov-1997,564133.0
Oct-1997,703034.0
Sep-1997,648473.0
Aug-1997,655008.0
Jul-1997,670043.0
Jun-1997,639961.0
May-1997,667566.0
Apr-1997,663266.0
Mar-1997,615572.0
Feb-1997,593081.0
Jan-1997,667884.0
Dec-1996,595041.0
Nov-1996,573057.0
Oct-1996,686141.0
Sep-1996,606694.0
Aug-1996,660370.0
Jul-1996,655381.0
Jun-1996,599799.0
May-1996,663234.0
Apr-1996,626220.0
Mar-1996,617555.0
Feb-1996,618637.0
Jan-1996,644121.0
Dec-1995,577239.0
Nov-1995,596524.0
Oct-1995,640987.0
Sep-1995,607716.0
Aug-1995,665681.0
Jul-1995,585666.0
Jun-1995,659734.0
May-1995,654542.0
Apr-1995,564327.0
Mar-1995,651072.0
Feb-1995,560504.0
Jan-1995,607437.0
Dec-1994,581276.0
Nov-1994,579933.0
Oct-1994,601695.0
Sep-1994,612479.0
Aug-1994,662530.0
Jul-1994,570384.0
Jun-1994,628900.0
May-1994,587404.0
Apr-1994,567983.0
Mar-1994,599941.0
Feb-1994,521846.0
Jan-1994,557199.0
Dec-1993,557400.0
Nov-1993,536850.0
Oct-1993,553628.0
Sep-1993,579618.0
Aug-1993,590586.0
Jul-1993,561550.0
Jun-1993,595360.0
May-1993,535353.0
Apr-1993,557469.0
Mar-1993,573434.0
Feb-1993,499260.0
Jan-1993,540505.0
Dec-1992,548243.0
Nov-1992,483519.0
Oct-1992,553063.0
Sep-1992,547711.0
Aug-1992,544959.0
Jul-1992,571272.0
Jun-1992,556340.0
May-1992,527918.0
Apr-1992,526628.0
Mar-1992,537797.0
Feb-1992,485153.0
Jan-1992,542435.0
Dec-1991,493852.0
Nov-1991,464121.0
Oct-1991,560063.0
Sep-1991,497366.0
Aug-1991,552217.0
Jul-1991,548787.0
Jun-1991,494829.0
May-1991,545419.0
Apr-1991,526076.0
Mar-1991,476689.0
Feb-1991,463590.0
Jan-1991,517268.0
Dec-1990,446035.0
Nov-1990,484210.0
Oct-1990,545288.0
Sep-1990,449691.0
Aug-1990,541869.0
Jul-1990,491313.0
Jun-1990,489606.0
May-1990,512594.0
Apr-1990,468255.0
Mar-1990,484502.0
Feb-1990,431817.0
Jan-1990,496160.0
Dec-1989,467175.0
Nov-1989,447309.0
Oct-1989,469005.0
Sep-1989,452721.0
Aug-1989,517485.0
Jul-1989,441554.0
Jun-1989,485333.0
May-1989,486634.0
Apr-1989,421828.0
Mar-1989,465938.0
Feb-1989,404658.0
Jan-1989,439673.0
Dec-1988,422229.0
Nov-1988,415678.0
Oct-1988,433998.0
Sep-1988,440987.0
Aug-1988,470593.0
Jul-1988,404976.0
Jun-1988,449229.0
May-1988,437418.0
Apr-1988,416787.0
Mar-1988,445895.0
Feb-1988,410645.0
Jan-1988,410271.0
Dec-1987,419496.0
Nov-1987,376553.0
Oct-1987,434790.0
Sep-1987,441131.0
Aug-1987,420180.0
Jul-1987,440309.0
Jun-1987,441996.0
May-1987,402939.0
Apr-1987,406872.0
Mar-1987,413332.0
Feb-1987,370774.0
Jan-1987,404046.0
Dec-1986,409746.0
Nov-1986,340736.0
Oct-1986,408226.0
Sep-1986,399286.0
Aug-1986,393927.0
Jul-1986,402536.0
Jun-1986,391891.0
May-1986,398816.0
Apr-1986,398532.0
Mar-1986,360110.0
Feb-1986,349477.0
Jan-1986,389497.0
Dec-1985,352589.0
Nov-1985,325845.0
Oct-1985,406356.0
Sep-1985,354690.0
Aug-1985,398826.0
Jul-1985,399428.0
Jun-1985,361451.0
May-1985,396518.0
Apr-1985,387763.0
Mar-1985,355018.0
Feb-1985,325431.0
Jan-1985,375131.0
Dec-1984,325586.0
Nov-1984,332157.0
Oct-1984,393852.0
Sep-1984,338237.0
Aug-1984,402868.0
Jul-1984,366170.0
Jun-1984,367532.0
May-1984,387890.0
Apr-1984,342948.0
Mar-1984,351345.0
Feb-1984,323502.0
Jan-1984,340241.0
Dec-1983,313208.0
Nov-1983,309773.0
Oct-1983,341530.0
Sep-1983,349947.0
Aug-1983,380313.0
Jul-1983,332128.0
Jun-1983,373732.0
May-1983,364275.0
Apr-1983,345740.0
Mar-1983,368250.0
Feb-1983,313680.0
Jan-1983,340252.0
Dec-1982,324325.0
Nov-1982,312009.0
Oct-1982,336440.0
Sep-1982,351952.0
Aug-1982,360424.0
Jul-1982,352584.0
Jun-1982,367476.0
May-1982,338337.0
Apr-1982,341112.0
Mar-1982,357859.0
Feb-1982,310082.0
Jan-1982,315510.0
Dec-1981,327883.0
Nov-1981,291510.0
Oct-1981,349356.0
Sep-1981,349618.0
Aug-1981,345646.0
Jul-1981,365542.0
Jun-1981,366236.0
May-1981,349318.0
Apr-1981,353350.0
Mar-1981,346307.0
Feb-1981,298083.0
Jan-1981,333030.0
Dec-1980,320965.0
Nov-1980,276245.0
Oct-1980,339715.0
Sep-1980,327390.0
Aug-1980,330650.0
Jul-1980,339826.0
Jun-1980,340847.0
May-1980,348032.0
